iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,popstock,popsize,bcnest_avg,bcnest_std,bcind_avg,bcind_std,ntrlbc_avg,ntrlbc_std,uniq_lins,relatedness,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,ntrlabun_avg,ntrlabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std
0,0.1,0.4,40,13313.6,42,50,0.771916,0.172376,0.709424,0.170225,0.40271,0.122354,1,0.998368,-0.00386198,0.09525,0.0619773,0.107425,18.0221,11.8738,126.839,35.5045,1.23907e+06,1.17296e+06,3.19545e+06,1.95639e+06,3.18853e+06,1.89012e+06,1.95211e+06,5.6,10.3383
0,0.1,0.4,40,13413.7,49,50,0.766873,0.167643,0.702618,0.165483,0.396879,0.124758,1,0.997008,-0.00547535,0.0898638,0.0375128,0.110277,16.7715,11.4608,134.217,39.9517,1.24928e+06,1.18231e+06,3.22046e+06,1.97117e+06,3.21341e+06,1.90428e+06,1.96685e+06,5.86,10.5433
0,0.1,0.4,40,13513.8,37,49,0.768705,0.167456,0.703648,0.165337,0.39941,0.125257,1,0.997691,-0.00429441,0.0903913,0.0386869,0.111086,16.4368,11.3326,134.211,40.3572,1.25921e+06,1.19155e+06,3.24514e+06,1.98593e+06,3.23809e+06,1.91854e+06,1.98161e+06,5.97959,10.6167
0,0.1,0.4,40,13613.9,39,50,0.764583,0.168941,0.701689,0.16828,0.392641,0.122323,1,0.997319,-0.0107604,0.103481,0.0509835,0.105566,16.8924,10.0226,132.985,39.245,1.26914e+06,1.20075e+06,3.26987e+06,2.00074e+06,3.26275e+06,1.93277e+06,1.99637e+06,4.52,7.85173
0,0.1,0.4,40,13714,43,49,0.76747,0.1691,0.703508,0.168741,0.392899,0.122745,1,0.997092,-0.0168773,0.0951636,0.0515311,0.106568,16.3807,9.45554,133.671,39.3455,1.27923e+06,1.2101e+06,3.29472e+06,2.01548e+06,3.28758e+06,1.94694e+06,2.0111e+06,4.61224,7.90457
0,0.1,0.4,40,13814.1,30,50,0.757162,0.170055,0.694423,0.169239,0.375033,0.124419,1,0.997729,5.64799e-05,0.0977385,0.0535109,0.0977936,16.416,9.30346,146.671,43.6667,1.28896e+06,1.21911e+06,3.31932e+06,2.03036e+06,3.3121e+06,1.96125e+06,2.02594e+06,4.3,7.6531
0,0.1,0.4,40,13914.2,30,50,0.757162,0.170055,0.694423,0.169239,0.375033,0.124419,1,0.997213,5.64799e-05,0.0977385,0.0535109,0.0977936,16.416,9.30346,146.671,43.6667,1.29918e+06,1.22853e+06,3.34428e+06,2.0451e+06,3.33702e+06,1.97536e+06,2.04066e+06,4.3,7.6531
0,0.1,0.4,40,14014.3,42,50,0.767737,0.162451,0.709277,0.167151,0.387676,0.123019,1,0.99642,0.00878638,0.0957495,0.0539492,0.1093,18.771,12.5965,137.601,45.3221,1.30924e+06,1.23783e+06,3.36921e+06,2.05996e+06,3.36187e+06,1.98954e+06,2.05547e+06,4.46,7.97298
0,0.1,0.4,40,14114.4,32,49,0.769735,0.161963,0.710349,0.167162,0.388504,0.123032,1,0.997193,0.00625248,0.0950476,0.0546341,0.110303,18.2826,12.2467,136.205,44.7056,1.31949e+06,1.24716e+06,3.39421e+06,2.07472e+06,3.38687e+06,2.00362e+06,2.07022e+06,4.55102,8.02817
0,0.1,0.4,40,14214.5,31,50,0.743202,0.168134,0.689322,0.170081,0.368164,0.10674,1,0.998195,0.00580863,0.098543,0.0504572,0.112586,20.408,14.8055,138.246,40.8551,1.32889e+06,1.25572e+06,3.41843e+06,2.08954e+06,3.41098e+06,2.01774e+06,2.08497e+06,4.74,8.17511
0,0.1,0.4,40,14314.6,50,47,0.747777,0.169714,0.69045,0.171775,0.367394,0.108743,1,0.996813,0.0120886,0.0968692,0.0482091,0.113942,18.2988,12.3438,138.764,41.8974,1.33847e+06,1.26448e+06,3.44272e+06,2.10424e+06,3.43526e+06,2.03178e+06,2.09967e+06,5.04255,8.34102
0,0.1,0.4,40,14414.7,38,50,0.767024,0.165381,0.707547,0.167946,0.365039,0.11182,1,0.996729,-0.0118798,0.0920246,0.0307995,0.117408,17.8417,10.312,128.971,30.5994,1.34729e+06,1.27253e+06,3.46633e+06,2.11904e+06,3.45877e+06,2.04587e+06,2.1144e+06,4.96,8.43791
0,0.1,0.4,40,14514.8,50,50,0.767024,0.165381,0.707547,0.167946,0.365039,0.11182,1,0.996173,-0.0118798,0.0920246,0.0307995,0.117408,17.8417,10.312,128.971,30.5994,1.35759e+06,1.28215e+06,3.49139e+06,2.1338e+06,3.48383e+06,2.06018e+06,2.12916e+06,4.96,8.43791
0,0.1,0.4,40,14614.9,39,50,0.740645,0.16904,0.684699,0.16952,0.364567,0.113124,1,0.998501,-0.0254206,0.0750653,0.0247953,0.116884,19.7426,11.6523,134.714,30.2502,1.36787e+06,1.29172e+06,3.51656e+06,2.14869e+06,3.50892e+06,2.07457e+06,2.14399e+06,5.28,8.53239
0,0.1,0.4,40,14715,25,48,0.74631,0.169187,0.688281,0.170318,0.366862,0.114029,1,0.99786,-0.0283587,0.0751914,0.028896,0.117517,18.6999,10.6889,134.814,30.8477,1.37784e+06,1.30114e+06,3.54127e+06,2.16342e+06,3.53361e+06,2.08902e+06,2.15872e+06,5.5,8.63858
0,0.1,0.4,40,14815.1,40,50,0.732424,0.167573,0.679981,0.168884,0.371577,0.119105,1,0.997715,-0.00824799,0.0782212,0.0450553,0.104593,19.7122,10.7262,127.945,33.7135,1.3873e+06,1.31002e+06,3.56552e+06,2.17822e+06,3.55777e+06,2.10344e+06,2.17346e+06,5.44,9.01368
0,0.1,0.4,40,14915.2,33,50,0.732424,0.167573,0.679981,0.168884,0.371577,0.119105,1,0.997356,-0.00824799,0.0782212,0.0450553,0.104593,19.7122,10.7262,127.945,33.7135,1.39756e+06,1.31964e+06,3.59051e+06,2.19295e+06,3.58275e+06,2.11775e+06,2.18821e+06,5.44,9.01368
0,0.1,0.4,40,15015.3,35,50,0.725015,0.166034,0.675178,0.168063,0.366896,0.113819,1,0.996732,-0.0106207,0.103248,0.0427092,0.105962,22.8049,15.6079,124.531,35.3329,1.40729e+06,1.32872e+06,3.61502e+06,2.20773e+06,3.60717e+06,2.13202e+06,2.20292e+06,5.6,9.16515
0,0.1,0.4,40,15115.4,47,48,0.727826,0.167527,0.676013,0.169531,0.370391,0.114292,1,0.997008,-0.0036161,0.0993607,0.0440715,0.107878,20.9177,12.8327,125.304,35.8483,1.4169e+06,1.33768e+06,3.63932e+06,2.22242e+06,3.63147e+06,2.14612e+06,2.21761e+06,5.83333,9.2811
0,0.1,0.4,40,15215.5,31,50,0.744135,0.168123,0.693358,0.170066,0.368225,0.110382,1,0.997214,0.0045356,0.0997813,0.0702389,0.101576,20.5331,12.9975,127.067,33.6688,1.42636e+06,1.34645e+06,3.66356e+06,2.23719e+06,3.65561e+06,2.16023e+06,2.2323e+06,5.98,9.29406
0,0.1,0.4,40,15315.6,48,48,0.743612,0.169933,0.691004,0.171276,0.369189,0.112428,1,0.996628,0.00508774,0.10144,0.0748201,0.100334,19.1084,11.0972,127.569,34.0513,1.43642e+06,1.35561e+06,3.68834e+06,2.25192e+06,3.6804e+06,2.17426e+06,2.24704e+06,6.22917,9.40354
