dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4
0.01,0.01,0.4,40,60.4166,55.4695,67,-0.242724,65,6,4,11,5,8,4,3,3,0,0.00893989,0.989787,0,0.0384939,0.000125949,85.4033,73.6451,23.9592,69.2019,94.2417,
0.01,0.01,0.4,40,60.4166,54.3837,64,-1.27214,61,6,3,10,4,9,4,7,4,0,0.00526362,1.01545,1,0.0492751,0.000107134,85.3913,73.6541,23.9253,69.1968,94.2259,
0.01,0.01,0.4,40,60.4166,55.6003,68,-0.243831,66,3,2,11,8,8,1,1,0,0,-0.00947279,1.01848,0,0.00733173,9.24616e-05,85.407,73.6406,23.951,69.2236,94.2492,
0.01,0.01,0.4,40,60.4166,55.2784,65,-1.25216,64,4,3,12,8,7,1,1,1,0,0.021584,0.986359,2,0.0364874,8.89232e-05,85.4067,73.6582,23.9444,69.2173,94.2298,
0.01,0.01,0.4,40,60.4166,55.4695,66,-1.28917,65,2,1,12,10,7,4,6,4,0,0.00629468,1.00515,2,0.0192251,9.00799e-05,85.4083,73.645,23.9565,69.218,94.2308,
0.01,0.01,0.4,40,80.5414,57.8798,70,-0.0767691,69,2,2,11,9,10,4,0,0,0,0.00539888,1.00375,2,0.00681418,0.000142146,85.3976,73.6295,23.9489,69.2245,94.2266,
0.01,0.01,0.4,40,80.5414,57.8609,69,-0.686002,66,1,1,12,11,8,4,2,2,0,-0.00340748,0.992409,1,0.00557679,0.000149499,85.3984,73.6324,23.9543,69.2276,94.2274,
0.01,0.01,0.4,40,80.5414,58.3237,71,-0.300637,70,1,0,11,10,8,2,2,1,0,0.0148521,1.02048,1,0.00703181,0.000178035,85.3768,73.6459,23.9567,69.2305,94.2187,
0.01,0.01,0.4,40,80.5414,58.7932,72,-1.08403,70,0,0,12,12,9,4,3,1,0,0.00533256,1.01876,1,-0.0130245,0.00010545,85.3937,73.6299,23.9314,69.224,94.2314,
0.01,0.01,0.4,40,80.5414,60.6917,74,-1.25327,71,3,1,11,8,8,0,1,0,0,-0.00128118,0.981168,2,0.0225431,0.000135359,85.3909,73.653,23.9476,69.2324,94.2387,
0.01,0.01,0.4,40,80.5414,59.9428,73,-0.708049,72,4,1,11,7,9,3,2,1,0,-0.00197956,0.996671,0,-0.0154299,0.000111662,85.3782,73.6346,23.9213,69.2362,94.2109,
0.01,0.01,0.4,40,80.5414,62.1988,75,-0.618641,74,5,2,12,7,8,3,2,1,0,0.0112119,1.01323,2,0.0304706,0.00016253,85.412,73.6573,23.9383,69.2306,94.2378,
