iModelChoice,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4,cue5,cue6,cue7,cue8,cue9
0,1,0.4,40,404.107,0,43,76.3758,0,493,366,1969,1476,1962,1471,498,498,0,-0.967169,-0.196728,0,-1.89383,0.260873,2.91663,3.87882,17.469,3.23406,10.7429,4.34131,15.3208,5.84145,9.54782,14.7406,
0,1,0.4,40,404.107,0,18,105.487,0,544,387,2031,1487,2026,1482,508,508,0,-1.8624,0.903242,1,1.36746,0.447303,26.6007,7.43287,3.71683,11.7498,15.6037,7.98403,7.32726,0.779027,0.200122,1.66614,
0,1,0.4,40,404.107,200.004,63,42.1888,46,276,213,978,702,973,380,266,95,0,0.458004,0.491357,0,0.401386,0.201697,5.36862,7.90371,6.88741,4.28769,11.1104,6.0068,12.5773,2.5702,0,11.9248,
0,1,0.4,40,404.107,0,29,77.162,0,512,348,2074,1562,2068,994,463,195,0,0.367014,0.438924,0,-0.600215,0.50455,4.9557,39.3086,3.78412,9.12593,10.7606,1.43306,0.407644,4.85492,0.731959,2.84369,
0,1,0.4,40,404.107,200.004,51,95.1843,18,291,212,997,706,995,416,300,4,0,0.434046,1.40946,0,0.724536,0.424677,26.6139,8.9176,3.96493,11.3677,14.3573,9.3796,6.80044,1.24092,1.45395,1.71977,
0,1,0.4,40,424.309,400.004,71,-0.144005,70,26,17,84,58,81,0,30,0,0,1.53883,1.45217,0,-0.0701422,0.547343,0.902068,8.46093,0,23.972,0.874115,2.30337,0,1.50649,5.18152,33.2535,
0,1,0.4,40,424.309,400.004,74,-0.00724131,61,36,26,87,51,79,0,23,0,0,1.47628,2.75262,0,-1.5584,0.392879,5.9092,7.96469,28.2033,2.73678,0,5.27885,18.9653,3.9653,1.34143,1.03017,
0,1,0.4,40,424.309,400.004,89,-0.123951,20,31,22,75,44,69,0,41,0,0,1.46585,0.415533,0,1.04224,0.310145,8.7729,21.2953,5.89206,6.93391,9.41416,7.63212,12.0335,12.8031,2.79256,0,
0,1,0.4,40,424.309,200.004,70,-0.617866,49,288,186,1116,828,1109,823,335,335,0,-1.39588,1.01843,1,-0.298858,0.512099,1.33367,8.40186,1.42935,25.4676,2.09217,2.46279,0.0369414,1.23911,5.7663,32.3609,
0,1,0.4,40,434.41,400.004,72,-0.558477,14,70,49,153,83,148,28,45,18,0,0.836595,-0.651713,0,-2.76911,0.27143,0,7.72328,6.27013,0,0,8.73987,10.3607,9.72865,2.81222,13.4785,
0,1,0.4,40,434.41,200.004,61,-0.521113,40,372,236,1107,735,1102,728,337,337,0,0.0105529,-0.722019,1,-0.642335,0.424479,4.25501,7.92854,28.2983,2.77972,0.0778385,4.47227,19.9526,3.38341,1.98789,0.868076,
0,1,0.4,40,434.41,400.004,82,-0.0110949,45,50,35,146,96,137,0,43,0,0,2.90329,-0.766813,0,2.43755,0.35199,2.03251,2.27611,5.53609,1.15327,0,5.89329,7.65935,1.02624,3.53445,15.136,
0,1,0.4,40,434.41,200.004,55,-0.0394903,14,363,260,1163,800,1155,795,362,359,0,-0.89376,1.30533,1,-1.94412,0.285886,0,6.65838,3.2414,0,0.744726,7.27008,8.69257,8.15738,2.33278,12.1925,
0,1,0.4,40,434.41,400.004,81,-0.0764534,22,51,36,137,86,133,27,58,14,0,0.693957,0.240951,0,-0.642949,0.280257,15.5856,16.5515,1.67919,4.83988,3.82339,0,12.6371,7.01537,2.95183,5.51465,
0,1,0.4,40,434.41,400.004,79,-0.66873,20,58,42,145,87,142,86,59,59,0,-0.364382,0.591669,0,0.933605,0.344005,7.61451,23.2036,6.17636,8.22789,12.56,9.39396,11.1859,11.7983,0.776253,0.937539,
0,1,0.4,40,434.41,400.004,86,-0.0493846,64,59,34,161,102,158,0,60,0,0,0.975409,2.59559,0,-0.0644676,0.408252,0.63898,1.48575,4.83137,1.19879,2.44087,4.37597,4.10505,0,3.81737,16.4979,
0,1,0.4,40,444.51,400.004,73,-0.711861,34,81,50,211,130,206,126,66,64,0,-1.09804,1.83352,0,-1.75661,0.392101,12.1993,11.8139,1.44832,19.4895,0.918588,6.05689,24.1615,14.4233,11.9831,2.77119,
0,1,0.4,40,444.51,400.004,85,-0.0241657,42,63,37,180,117,173,93,76,63,0,0.12264,0.00719868,0,-1.77707,0.30367,12.0136,10.3091,13.2272,3.28586,2.13271,1.36714,13.9344,3.39354,16.3732,1.9369,
