max_gtime_evolution,dRemovalTime,dReproductionTime,dTickTime,dOutputTime,dFracDeadNest,dFracLastIndRecord,dInitIntercept,dInitSlope,bIsCoevolve,dFracKilled,dMetabolicCost,dMutationStrength,dMutationStrengthCues,dFracIndMutStrength,dMutBias,iNumWorkers,iNumCues,iNumColonies,dInitNestStock,dInitFoodStock,dExpParam,dMeanActionTime,dRatePopStock,dConstantPopStock,dRateNestStock,iModelChoice,iTolChoice,iKillChoice,iRepChoice,iFoodResetChoice,iConstStockChoice,gtime,popstock,popsize,glasttime,popstocklast,popsizelast,bcnest_avg,bcnest_std,bcind_avg,bcind_std,nshan_avg,nshan_std,nsimp_avg,nsimp_std,ishan_avg,ishan_std,isimp_avg,isimp_std,relatedness,neutral_avg,neutral_std,int_avg,int_std,slope_avg,slope_std,cueabun_avg,cueabun_std,steal,sucsteal,leave,sucfor,rentry,sucrentr,sucfood,offprings_avg,offspring_std,offsimp,offshan,timealive_avg,timealive_std,maxtime_alive,mintime_alive,simulation_folder,rep_num
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,0.5,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,29,36,199960,6,37,0.58735,0.146965,0.564601,0.164654,1.64704,0.172254,0.767935,0.0473079,1.69041,0.157567,0.772903,0.0459599,0.996721,2.86405,0.927898,0.658087,0.558714,1.71342,0.918639,6.35989,2.02398,20763900,3726510,35912500,15148600,35807000,8608690,15116800,2.91892,5.51841,0.876372,2.52856,1103.11,1176.96,4757.24,157.149,1007,17
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,1,34,199960,0,36,0.60327,0.156412,0.577402,0.171715,1.6031,0.239031,0.760694,0.0636002,1.66339,0.206383,0.76903,0.0562729,0.997487,-21.1702,1.8956,0.487778,0.626527,1.8988,0.906451,10.4121,3.76074,21221700,3693660,36365200,15143500,36262200,9204560,15112000,2.86111,3.60673,0.92808,2.83493,962.73,930.351,3357.21,157.164,1008,17
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,5,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,159,32,199961,39,32,0.646949,0.163637,0.612187,0.175572,1.5249,0.33749,0.732819,0.14023,1.61948,0.212981,0.754837,0.0733391,0.99756,-10.4808,10.2383,0.29898,0.381312,2.07666,0.875204,35.3815,9.50777,19215400,3098330,34361000,15145600,34257900,10848400,15113900,6,6.53835,0.931641,2.88223,2401.65,2121.79,8957.99,157.858,1009,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,0.1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,186,44,199958,205,44,0.056228,0.0168849,0.0551061,0.0183528,1.99852,0.0249593,0.846733,0.00403185,1.99854,0.0249919,0.846724,0.00405974,0.999001,-2.84454,0.366761,-0.418697,0.727085,0.97452,0.993396,27.4952,1.13555,16053000,14168800,45194600,29141600,45093600,26179500,29076300,1.25,1.77258,0.93157,2.87594,541.889,400.907,1755.54,155.522,101,2
200000,200,200,4,50.1,1,0.05,0,1,0,0.4,40,1,10,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,0,0,1,2,200000,139,29,199961,5,29,0.703884,0.16017,0.656987,0.180604,1.38237,0.229499,0.69968,0.0873482,1.50268,0.213728,0.719847,0.0817836,0.998326,15.5154,21.9728,-0.0541074,0.371074,2.08476,0.552462,48.8095,13.4797,17812900,2695880,32952600,15139700,32849400,11735100,15107400,17.6552,17.4342,0.931892,2.91745,5047.8,4177.71,13558.3,358.068,1010,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,0.1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,1,0,1,2,200000,36,45,199958,16,45,0.441874,0.309107,0.433006,0.312131,1.72068,0.202728,0.769518,0.0659745,1.72093,0.202703,0.769533,0.0659657,0.993742,-0.0866999,0.124288,-0.21012,0.533584,2.47143,1.1573,48.833,10.0442,15534400,7301300,44624100,29089700,44522500,27566200,29023600,67.9111,129.084,0.89749,2.61047,19827.2,37283.7,163358,155.865,1011,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,0.5,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,1,0,1,2,200000,190,44,199958,172,44,0.470083,0.234677,0.457957,0.239936,1.51244,0.19452,0.706921,0.085267,1.52994,0.189048,0.709129,0.0844588,0.999548,0.857095,2.20607,-0.14356,0.201898,2.17346,1.07383,16.6632,5.80334,17134800,8969760,46409100,29274300,46308500,26956700,29210400,28.8182,58.193,0.884599,2.67199,8187.61,15792.5,77956.6,155.687,1012,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,1,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,1,0,1,2,200000,97,48,199958,162,50,0.745659,0.174342,0.696018,0.174636,1.26663,0.459024,0.644534,0.183491,1.45701,0.333548,0.693456,0.125892,0.998925,-1.78668,3.08354,-0.182873,0.643866,1.91288,1.11921,4.36642,2.46129,18856000,6057350,48289300,29433200,48188900,26004300,29370600,65.54,102.258,0.931314,2.95853,19659.7,30118.8,147357,155.508,1013,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,5,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,1,0,1,2,200000,120,47,199957,203,47,0.811707,0.166697,0.738154,0.166991,1.04754,0.498956,0.559591,0.214226,1.36678,0.367902,0.658669,0.145042,0.993907,-5.80448,7.3761,-0.491732,0.545492,2.06799,0.847134,15.0877,11.4306,17064100,5009210,46332000,29267900,46231400,26756100,29203600,171.511,202.262,0.949133,3.08935,50079.2,57658.1,176557,155.209,1014,17
200000,200,200,2,50.1,1,0.05,0,1,0,0.4,40,1,10,0.1,0,10,10,50,25,300,0.1,1,0,50,0,2,0,1,0,1,2,200000,35,42,199958,22,42,0.839113,0.169971,0.749234,0.167539,0.913702,0.508021,0.525749,0.240655,1.32116,0.357692,0.639136,0.150747,0.995964,-2.72065,19.6131,-0.557159,0.473683,1.99967,0.875851,23.2313,20.0115,14800300,4435060,43773100,28972800,43671600,26886300,28906200,202.095,205.397,0.951597,3.14732,58242.3,57782.1,177358,155.879,1015,17
